"activity_id","activity_date","developer","project_code","project_name","requirement_id","deliverable_id","activity_type","activity_title","activity_summary","systems_touched","files_touched","evidence_refs","reusable_asset_created","reusable_pattern","validation_rule","gap_or_risk","next_action","status","priority","llm_queryable","company_knowledge_candidate","memory_tags","source_skill_file"
"D01-A01","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","discovery","Phase 1 database and existing-asset discovery for WLSP","Ran read-only discovery across 14 user schemas. Catalogued core tables: order_transaction (1.22M rows), ppc_performance (24.5M), order_shipping_billing_detail (1.09M), amazon_returns (3772), amz_order_expenses (412K). Confirmed ppc_performance.ref_id=ASIN and record_type='ad' is the SKU grain. Concluded database GREEN/PASS to support all 5 leakage analyses (L1-L5).","postgres","AIOS_Weekly_Leakage_Identification/discovery/PHASE1_EXISTING_ASSET_SCAN.md,AIOS_Weekly_Leakage_Identification/discovery/SOURCE_OBJECT_INVENTORY.md,AIOS_Weekly_Leakage_Identification/evidence/query_results/PHASE1_RESULTS.md","evidence/postgres_queries/01_schema_object_scan.sql..06; evidence/query_results/PHASE1_RESULTS.md","false","","All 5 analyses must be queryable from existing tables/views before any design","","","completed","high","true","false","discovery,postgres,schema-scan,amazon-fbm,leakage,data-quality","AIOS_Weekly_Leakage_Identification/discovery/PHASE1_EXISTING_ASSET_SCAN.md"
"D01-A02","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","analysis","Phase 2 review of existing development leakage framework","Inspected development.leakage_detection (404 rows; 404 OPEN / 0 CLOSED), leakage_classification (343), leakage_pattern_registry (7). Found pattern_id never populated (all NULL); root causes PRICE_TOO_LOW 178, SHIPPING_HIGH 148, FEE_ANOMALY 15, PAID_MEDIA_BLEED 2, RETURNS_ISSUE 0; daily_loss_gbp formula inconsistency between the 06-15 and 06-16 runs. Coverage vs protocol: L2/L3 PARTIAL, L1/L4/L5 MISSING.","postgres","AIOS_Weekly_Leakage_Identification/discovery/PHASE2_LEAKAGE_FRAMEWORK_REVIEW.md","evidence/postgres_queries/08_to_14_phase2_framework.sql; evidence/query_results/PHASE2_RESULTS.md","false","","Coverage verdict per analysis must cite a recorded query result","Existing engine has 0 closures (no feedback loop); pattern_id never wired to detections","","completed","high","true","false","leakage-engine,phase2,coverage,nnr,duplicate-truth","AIOS_Weekly_Leakage_Identification/discovery/PHASE2_LEAKAGE_FRAMEWORK_REVIEW.md"
"D01-A03","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","analysis","Duplicate-truth assessment: weekly protocol vs existing engine","Rated overlap between the weekly protocol and the existing engine: L3 net-negative vs leakage_detection (MEDIUM), L2 vs SHIPPING_HIGH classification (MEDIUM), L1 vs PAID_MEDIA_BLEED (LOW), L4 vs amazon_returns view (LOW). Core hazard identified: two systems issuing conflicting status for the same ASIN.","postgres","AIOS_Weekly_Leakage_Identification/discovery/DUPLICATE_TRUTH_ASSESSMENT.md","evidence/query_results/PHASE2_RESULTS.md (14_detected_skus_vs_ppc: 2 of 94 open SKUs have active 7d PPC)","false","","Every overlap rated with a de-duplication recommendation","Risk of two competing status sources per ASIN on L2/L3","","completed","medium","true","false","duplicate-truth,overlap,risk-rating,asin-status","AIOS_Weekly_Leakage_Identification/discovery/DUPLICATE_TRUTH_ASSESSMENT.md"
"D01-A04","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","documentation_work","Built Mini-AIOS WLSP investigation workspace and recorded OPTION B architecture decision","Authored the full Mini-AIOS documentation set (README, START_HERE, REQ-001, options A/B/C, final decision, coverage matrix, queryability check, validation result, closure). Recorded architecture decision OPTION B: build a weekly report layer on top of the existing framework (reuse profitability views and pattern taxonomy, add L1/L4/L5 and the closure loop).","filesystem","AIOS_Weekly_Leakage_Identification/README.md,AIOS_Weekly_Leakage_Identification/START_HERE.md,AIOS_Weekly_Leakage_Identification/requirements/REQ-001_WEEKLY_LEAKAGE_PROTOCOL.md,AIOS_Weekly_Leakage_Identification/architecture_review/FINAL_ARCHITECTURE_DECISION.md","AIOS_Weekly_Leakage_Identification/ (22 files across requirements/discovery/evidence/architecture_review/validation/closure)","true","Mini-AIOS investigation workspace template: requirements/discovery/evidence/architecture_review/validation/closure with a document-control block per file","A new developer can trace every conclusion back to evidence (SQL + result + source object)","","Bietrick to sign off OPTION B before any build","completed","high","true","true","mini-aios,documentation,architecture-decision,option-b,reusable-template","AIOS_Weekly_Leakage_Identification/architecture_review/FINAL_ARCHITECTURE_DECISION.md"
"D01-A05","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","validation","Documentation validation audit of WLSP workspace","Audited all markdown for evidence backing. Verdict PASS WITH WARNINGS: no fabricated facts found; warnings on estimate-vs-exact labelling of row counts, unlabelled interpretive statements, one protocol-vs-observed PPC date discrepancy, and figure-transcription duplication across files. Listed 7 required corrections C-1 to C-7.","filesystem","AIOS_Weekly_Leakage_Identification/VALIDATION_AUDIT.md","AIOS_Weekly_Leakage_Identification/VALIDATION_AUDIT.md","false","","No fabricated facts; all measured claims traceable to a cited result","Interpretive statements not always labelled as inference; row counts are pg_stat estimates","Apply corrections C-1 to C-7 before the build phase","completed","medium","true","false","audit,evidence-first,traceability,warnings,corrections","AIOS_Weekly_Leakage_Identification/VALIDATION_AUDIT.md"
"D01-A06","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","analysis","PostgreSQL data-gap analysis for L1-L5","Field-by-field readiness audit: 36 required fields, 23 fully available, 13 partial, 0 missing (DB-required); overall readiness approx 82 percent. Corrected two prior figures with fresh queries: shipping coverage is 99.8 percent on completed orders (not 73.5), template price 21.2 percent. PASS - no analysis blocked by missing data.","postgres","AIOS_Weekly_Leakage_Identification/POSTGRES_DATA_GAP_ANALYSIS.md","AIOS_Weekly_Leakage_Identification/POSTGRES_DATA_GAP_ANALYSIS.md (VQ-L1..VQ-ACC2)","false","","PASS if all 5 supported with no absent DB-required field","PPC PH-mapping 40.6 percent missing (HIGH); refund-source conflict (HIGH); template 21.2 percent; order PH mapping 83.4 percent","Address DQ-1 and DQ-2 in the build; disclose partial-coverage caveats in the weekly report","completed","high","true","true","data-gap,l1-l5,readiness,shipping-coverage,ph-mapping,refunds","AIOS_Weekly_Leakage_Identification/POSTGRES_DATA_GAP_ANALYSIS.md"
"D01-A07","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","root_cause_analysis","Root-cause analysis of HIGH findings DQ-1 (PPC PH gap) and DQ-2 (refund conflict)","DQ-1: PH-missing concentrates in 4 SKU-less accounts; raw ppc_etl_performance_data has no user_name column; only 11.3 percent of missing-PH SKUs recoverable via order_transaction; L1 impact is 22.8 percent of flagged spend (124.61 of 545.38 GBP) unattributed. DQ-2: order_transaction Refunded (50) vs amazon_returns FBM (303) measure different events - 242 returns still marked Completed; refunded_amount only 42.1 percent populated.","postgres","AIOS_Weekly_Leakage_Identification/HIGH_RISK_ROOT_CAUSE_ANALYSIS.md","AIOS_Weekly_Leakage_Identification/HIGH_RISK_ROOT_CAUSE_ANALYSIS.md (queries Q1-Q9)","false","","Each root cause proven by a cited query, not inferred","L1 PH grouping degraded; L4 must reconcile two refund sources","Use order_transaction as the L4 spine plus amazon_returns enrichment; run L1 at ASIN level","completed","high","true","true","root-cause,dq-1,dq-2,ppc-ph-mapping,refund-reconciliation","AIOS_Weekly_Leakage_Identification/HIGH_RISK_ROOT_CAUSE_ANALYSIS.md"
"D01-A08","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","investigation","ETL trace for ppc_performance.user_name populator","Searched the database and filesystem for the code that writes ppc_performance.user_name. No trigger, no SQL/PLpgSQL function references the PPC tables (18 plpgsql functions inspected; the 41 C functions are all dblink), and no ETL script exists on disk. Populator is external to the database and the workspace; it could not be shown from real code. Corrected the earlier inference that PH is a SKU-keyed lookup as UNPROVEN.","postgres,filesystem","AIOS_Weekly_Leakage_Identification/ETL_TRACE_DQ1.md","AIOS_Weekly_Leakage_Identification/ETL_TRACE_DQ1.md (evidence E-1..E-8)","false","","Show populator from real code OR prove its absence with evidence","user_name populator not accessible; lineage undocumented even in the column comment","Obtain the external PPC ETL repo/service and re-run the trace against its real code","completed","medium","true","false","etl-trace,lineage,ppc,external-etl,no-infer","AIOS_Weekly_Leakage_Identification/ETL_TRACE_DQ1.md"
"D01-A09","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","discovery","Memory-ingestion discovery: daily_task activity-memory standard and naming convention","Found the activity-memory standard in the daily_task schema: one table per developer/project, naming convention tbl_<projectcode>_<developer>. The 24-field standard is present on conforming tables and activity_id is the PRIMARY KEY on the conforming variant. Confirmed no tbl_wlsp_sarujanan existed and that tbl_ospm_sharujanan is a non-conforming older task-list schema (used as reference only).","postgres","","information_schema + table_constraints inspection of daily_task (read-only)","false","","Do not invent schema or naming; reuse the existing standard","Multiple inconsistent activity-table variants exist across daily_task","","completed","medium","true","false","memory-ingestion,daily_task,naming-convention,activity-memory,standard","daily_task discovery (information_schema, read-only)"
"D01-A10","2026-06-22","sarujanan","wlsp","AIOS Weekly Leakage Identification","DP-WLSP-REQ-01","D01","schema_creation","Created and validated daily_task.tbl_wlsp_sarujanan activity-memory table","Created the approved per-project activity-memory table (26 columns; activity_id text PRIMARY KEY; imported_at timestamptz DEFAULT now()). Validated: table exists, PK = activity_id, 26 = 26 column parity with the standard (0 mismatches), 0 duplicate keys, 0 rows. Status GREEN and ready for MCP imports.","postgres","","CREATE TABLE daily_task.tbl_wlsp_sarujanan; validation queries V1-V5","true","Per-project activity-memory table cloned from the daily_task standard with activity_id PK as the idempotent UPSERT key","activity_id is PRIMARY KEY (NOT NULL + UNIQUE); column set identical to the standard","","Load the 2026_06_22 work-log CSV via ON CONFLICT (activity_id) UPSERT after approval","completed","high","true","false","schema-creation,tbl_wlsp_sarujanan,activity_id-pk,upsert,idempotent","daily_task.tbl_wlsp_sarujanan DDL + validation (V1-V5)"
